cid,firstlast,lastname,state,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00030771,Paul Gosar,GOSAR,AZ,R,AZ04,M,2010,0,,202-225-2315,202-226-9739,http://gosar.house.gov,https://gosar.house.gov/contact-me/email-me,2057 Rayburn House Office Building,G000565,123491,H0AZ01259,RepGosar,https://youtube.com/repgosar,repgosar,1958-11-22
N00039293,Andy Biggs,Biggs,AZ,R,AZ05,M,2016,0,,202-225-2635,,https://biggs.house.gov,,1626 Longworth House Office Building,B001302,,,RepAndyBiggsAZ,,RepAndyBiggs,1958-11-07
N00006460,David Schweikert,SCHWEIKERT,AZ,R,AZ06,M,2010,0,,202-225-2190,202-225-0096,https://schweikert.house.gov,https://schweikert.house.gov/contact-form,2059 Rayburn House Office Building,S001183,106387,H4AZ06045,RepDavid,https://youtube.com/RepDavidSchweikert,repdavidschweikert,1962-03-03
N00036097,Ruben Gallego,GALLEGO,AZ,D,AZ07,M,2014,0,,202-225-4065,,https://rubengallego.house.gov,,1218 Longworth House Office Building,G000574,,H4AZ07043,RepRubenGallego,,RepRubenGallego,1979-11-20
N00042056,Debbie Lesko,Lesko,AZ,R,AZ08,F,2018,0,,202-225-4576,,https://lesko.house.gov/,,1113 Longworth House Office Building,L000589,,,RepDLesko,,RepDebbieLesko,1958-11-14
N00006423,Trent Franks,FRANKS,AZ,R,AZ08,M,2002,2,Resigned on 12/8/2017,202-225-4576,202-225-6328,https://franks.house.gov,https://franks.house.gov/contact-me/email-me,2435 Rayburn House Office Building,F000448,28399,H4AZ04024,RepTrentFranks,,TrentFranks,1957-06-19
N00033983,Kyrsten Sinema,SINEMA,AZ,D,AZ09,F,2012,15,Running for Senate,202-225-9888,202-225-9731,https://sinema.house.gov,https://sinemaforms.house.gov/forms/writeyourrep/,1725 Longworth House Office Building,S001191,28338,H2AZ09019,RepSinema,https://youtube.com/repsinema,CongresswomanSinema,1976-07-12
N00006424,John McCain,MCCAIN,AZ,R,AZS1,M,1986,1,"Died on August 25, 2018",202-224-2235,202-228-2862,https://www.mccain.senate.gov,https://www.mccain.senate.gov/public/index.cfm/contact-form,218 Russell Senate Office Building,M000303,53270,S6AZ00019,SenJohnMcCain,https://youtube.com/SenatorJohnMcCain,johnmccain,1936-08-29
N00006406,Jon Kyl,KYL,AZ,R,AZS1,M,1994,4,Appointed to replace John McCain,202-224-4521,202-224-2207,http://kyl.senate.gov/,http://www.kyl.senate.gov/contact.cfm,730 Hart Senate Office Building,K000352,26721,S4AZ00030,senjonkyl,http://youtube.com/SenJonKyl,jonkyl,1942-04-25
N00009573,Jeff Flake,FLAKE,AZ,R,AZS2,M,2012,4,Retiring at end of 115th,202-224-4521,202-226-4386,https://www.flake.senate.gov/public,https://www.flake.senate.gov/public/index.cfm/contact-jeff,413 Russell Senate Office Building,F000444,28128,H0AZ01184,JeffFlake,https://youtube.com/flakeoffice,senatorjeffflake,1962-12-31
N00030770,Rick Crawford,CRAWFORD,AR,R,AR01,M,2010,0,,202-225-4076,202-225-5602,http://crawford.house.gov,http://crawford.house.gov/contact/,2422 Rayburn House Office Building,C001087,119208,H0AR01083,RepRickCrawford,https://youtube.com/RepRickCrawford,RepRickCrawford,1966-01-22
N00035792,French Hill,HILL,AR,R,AR02,M,2014,0,,202-225-2506,202-225-5903,https://hill.house.gov,,1229 Longworth House Office Building,H001072,,H4AR02141,RepFrenchHill,,RepFrenchHill,1956-12-05
N00031857,Steve Womack,WOMACK,AR,R,AR03,M,2010,0,,202-225-4301,202-225-5713,http://womack.house.gov,https://womack.house.gov/contact/contactform.htm,2412 Rayburn House Office Building,W000809,71815,H0AR03055,Rep_SteveWomack,https://youtube.com/CongressmanWomack,RepSteveWomack,1957-02-18
N00035527,Bruce Westerman,WESTERMAN,AR,R,AR04,M,2014,0,,202-225-3772,,https://westerman.house.gov,,130 Cannon House Office Building,W000821,,H4AR04048,RepWesterman,,RepWesterman,1967-11-18
N00033363,Tom Cotton,COTTON,AR,R,ARS1,M,2014,0,,202-224-2353,,https://www.cotton.senate.gov,http://www.cotton.senate.gov/?p=contact,124 Russell Senate Office Building,C001095,135651,H2AR04083,SenTomCotton,https://youtube.com/RepTomCotton,SenatorTomCotton,1977-05-13
N00013873,John Boozman,BOOZMAN,AR,R,ARS2,M,2010,0,,202-224-4843,202-228-1371,https://www.boozman.senate.gov/public,https://www.boozman.senate.gov/public/index.cfm/contact,141 Hart Senate Office Building,B001236,27958,H2AR03176,JohnBoozman,https://youtube.com/BoozmanPressOffice,JohnBoozman,1950-12-10
N00033987,Doug LaMalfa,LAMALFA,CA,R,CA01,M,2012,0,,202-225-3076,530-534-7800,http://lamalfa.house.gov,https://lamalfa.house.gov/contact/email-me,322 Cannon House Office Building,L000578,29713,H2CA02142,RepLaMalfa,https://youtube.com/RepLaMalfa,RepLaMalfa,1960-07-02
N00033030,Jared Huffman,HUFFMAN,CA,D,CA02,M,2012,0,,202-225-5161,202-225-5163,http://huffman.house.gov,https://huffman.house.gov/contact/email-me,1406 Longworth House Office Building,H001068,59849,H2CA06259,RepHuffman,https://youtube.com/rephuffman,RepHuffman,1964-02-18
N00030856,John Garamendi,GARAMENDI,CA,D,CA03,M,2009,0,,202-225-1880,202-225-5914,http://garamendi.house.gov,https://garamendi.house.gov/contact-me/email-me,2438 Rayburn House Office Building,G000559,29664,H0CA10149,RepGaramendi,https://youtube.com/garamendiCA10,repgaramendi,1945-01-24
N00006863,Tom McClintock,MCCLINTOCK,CA,R,CA04,M,2008,0,,202-225-2511,202-225-5444,http://mcclintock.house.gov,https://mcclintockforms.house.gov/forms/contact-form.shtml,2312 Rayburn House Office Building,M001177,9715,H8CA04152,RepMcClintock,https://youtube.com/McClintockCA04,Congressman-Tom-McClintock-81125319109,1956-07-10
N00007419,Mike Thompson,THOMPSON,CA,D,CA05,M,1998,0,,202-225-3311,202-225-4335,http://mikethompson.house.gov,https://mikethompson.house.gov/contact/email-me,231 Cannon House Office Building,T000460,3564,H8CA01109,RepThompson,https://youtube.com/CongressmanMThompson,RepMikeThompson,1951-01-24
N00027459,Doris O Matsui,MATSUI,CA,D,CA06,F,2005,0,,202-225-7163,202-225-0566,https://matsui.house.gov,https://matsui.house.gov/email-representative-matsui,2311 Rayburn House Office Building,M001163,28593,H6CA05195,DorisMatsui,https://youtube.com/RepDorisMatsui,doris.matsui,1944-09-25
N00030717,Ami Bera,BERA,CA,D,CA07,M,2012,0,,202-225-5716,202-226-1298,http://bera.house.gov,https://beraforms.house.gov/forms/writeyourrep/,1431 Longworth House Office Building,B001287,120030,H0CA03078,RepBera,https://youtube.com/repamibera,RepAmiBera,1965-03-02
N00034224,Paul Cook,COOK,CA,R,CA08,M,2012,0,,202-225-5861,202-225-6498,http://cook.house.gov,https://cook.house.gov/contact/email-me,1222 Longworth House Office Building,C001094,58121,H2CA08164,RepPaulCook,https://youtube.com/RepPaulCook,RepPaulCook,1943-03-03
N00026926,Jerry McNerney,MCNERNY,CA,D,CA09,M,2006,0,,202-225-1947,202-225-4060,http://mcnerney.house.gov,https://mcnerney.house.gov/contact/email-me,2265 Rayburn House Office Building,M001166,29474,H4CA11081,RepMcNerney,https://youtube.com/RepJerryMcNerney,jerrymcnerney,1951-06-18
N00031593,Jeff Denham,DENHAM,CA,R,CA10,M,2010,21,Lost general election,202-225-4540,202-225-3402,http://denham.house.gov,https://denham.house.gov/contact-me/email-me,1730 Longworth House Office Building,D000612,28769,H0CA19173,RepJeffDenham,https://youtube.com/repjeffdenham,RepJeffDenham,1967-07-29
N00030709,Mark Desaulnier,DESAULNIER,CA,D,CA11,M,2014,0,,202-225-2095,202-225-5609,https://desaulnier.house.gov,,115 Cannon House Office Building,D000623,,H0CA10073,RepDeSaulnier,,RepMarkDeSaulnier,1952-03-31
N00007360,Nancy Pelosi,PELOSI,CA,D,CA12,F,1987,0,,202-225-4965,202-225-8259,http://pelosi.house.gov,http://pelosi.house.gov/contact-me/email-me,233 Cannon House Office Building,P000197,26732,H8CA05035,NancyPelosi,https://youtube.com/nancypelosi,NancyPelosi,1940-03-26
N00008046,Barbara Lee,LEE,CA,D,CA13,F,1998,0,,202-225-2661,202-225-9817,https://lee.house.gov,http://lee.house.gov/contact-the-office/email-me,2267 Rayburn House Office Building,L000551,8315,H8CA09060,RepBarbaraLee,https://youtube.com/RepLee,RepBarbaraLee,1946-07-16
N00029649,Jackie Speier,SPEIER,CA,D,CA14,F,2008,0,,202-225-3531,202-347-0956,https://speier.house.gov,https://forms.house.gov/speier/webforms/email_jackie.shtml,2465 Rayburn House Office Building,S001175,8425,H8CA12171,RepSpeier,https://youtube.com/jackiespeierca12,JackieSpeier,1950-05-14
N00033508,Eric Swalwell,SWALWELL,CA,D,CA15,M,2012,0,,202-225-5065,,https://swalwell.house.gov,http://swalwell.house.gov/contact-me/email-eric/,129 Cannon House Office Building,S001193,129529,H2CA15094,RepSwalwell,https://youtube.com/ericswalwell,CongressmanEricSwalwell,1980-11-16
N00026341,Jim Costa,COSTA,CA,D,CA16,M,2004,0,,202-225-3341,202-225-9308,https://costa.house.gov,http://www.house.gov/formcosta/issue.htm,2081 Rayburn House Office Building,C001059,3577,H4CA20082,RepJimCosta,https://youtube.com/RepJimCostaCA20,RepJimCosta,1952-04-13
N00026427,Ro Khanna,KHANNA,CA,D,CA17,M,2016,0,,202-225-2631,,https://khanna.house.gov,,513 Cannon House Office Building,K000389,,,RepRoKhanna,,RepRoKhanna,1976-09-13
N00007335,Anna Eshoo,ESHOO,CA,D,CA18,F,1992,0,,202-225-8104,202-225-8890,http://eshoo.house.gov,https://eshoo.house.gov/email-me/,241 Cannon House Office Building,E000215,26741,H8CA12098,RepAnnaEshoo,https://youtube.com/RepAnnaEshoo,RepAnnaEshoo,1942-12-13
N00007479,Zoe Lofgren,LOFGREN,CA,D,CA19,F,1994,0,,202-225-3072,202-225-3336,https://lofgren.house.gov,http://lofgren.house.gov/contact/,1401 Longworth House Office Building,L000397,21899,H4CA16049,RepZoeLofgren,https://youtube.com/RepZoeLofgren,zoelofgren,1947-12-21
N00038601,Jimmy Panetta,PANETTA,CA,D,CA20,M,2016,0,,202-225-2861,,https://panetta.house.gov,,228 Cannon House Office Building,P000613,,,RepJimmyPanetta,,RepJimmyPanetta,1969-10-01
N00033367,David Valadao,VALADAO,CA,R,CA21,M,2012,0,,202-225-4695,202-226-3196,http://valadao.house.gov,http://valadao.house.gov/contact/,1728 Longworth House Office Building,V000129,120200,H2CA20094,RepDavidValadao,https://youtube.com/congressmanvaladao,CongressmanDavidValadao,1977-04-14
N00007248,Devin Nunes,NUNES,CA,R,CA22,M,2002,0,,202-225-2523,202-225-3404,http://nunes.house.gov,https://nunes.house.gov/contactform/default.aspx,1013 Longworth House Office Building,N000181,16725,H8CA20059,Rep_DevinNunes,https://youtube.com/RepDevinNunes,Congressman-Devin-Nunes-376470350795,1973-10-01
N00028152,Kevin McCarthy,MCCARTHY,CA,R,CA23,M,2006,0,,202-225-2915,202-225-2908,http://kevinmccarthy.house.gov,https://kevinmccarthy.house.gov/contact/email-me,2421 Rayburn House Office Building,M001165,28918,H6CA22125,GOPLeader,https://youtube.com/repkevinmccarthy,CongressmanKevinMcCarthy,1965-01-26
N00037015,Salud Carbajal,CARBAJAL,CA,D,CA24,M,2016,0,,202-225-3601,,https://carbajal.house.gov,,212 Cannon House Office Building,C001112,,,RepCarbajal,,repsaludcarbajal,1964-11-18
N00035820,Steve Knight,KNIGHT,CA,R,CA25,M,2014,21,Lost general election,202-225-1956,202-226-0683,https://knight.house.gov,,1023 Longworth House Office Building,K000387,,H4CA25123,SteveKnight25,,RepresentativeSteveKnight,1966-12-17
N00034254,Julia Brownley,BROWNLEY,CA,D,CA26,F,2012,0,,202-225-5811,202-225-1100,http://juliabrownley.house.gov,https://juliabrownley.house.gov/contact/email-me,1019 Longworth House Office Building,B001285,59904,H2CA00120,JuliaBrownley26,https://youtube.com/RepJuliaBrownley,RepJuliaBrownley,1952-08-28
N00030600,Judy Chu,CHU,CA,D,CA27,F,2009,0,,202-225-5464,202-225-5467,https://chu.house.gov,http://chu.house.gov/connect-with-me/email-judy,2423 Rayburn House Office Building,C001080,16539,H0CA32101,RepJudyChu,https://youtube.com/RepJudyChu,RepJudyChu,1953-07-07
N00009585,Adam Schiff,SCHIFF,CA,D,CA28,M,2000,0,,202-225-4176,202-225-5828,http://schiff.house.gov,https://schiff.house.gov/email-congressman-schiff1,2372 Rayburn House Office Building,S001150,9489,H0CA27085,RepAdamSchiff,https://youtube.com/adamschiff,RepAdamSchiff,1960-06-22
N00033373,Tony Cardenas,CARDENAS,CA,D,CA29,M,2012,0,,202-225-6131,202-225-0819,https://cardenas.house.gov,https://cardenas.house.gov/contact/email-me,1510 Longworth House Office Building,C001097,9754,H2CA28113,RepCardenas,https://youtube.com/repcardenas,repcardenas,1963-03-31
N00006897,Brad Sherman,SHERMAN,CA,D,CA30,M,1996,0,,202-225-5911,202-225-5879,http://sherman.house.gov,http://sherman.house.gov/contact/contact-congressman-sherman-form,2181 Rayburn House Office Building,S000344,142,H6CA24113,BradSherman,https://youtube.com/shermanca27,63158229861,1954-10-24
N00033997,Pete Aguilar,AGUILAR,CA,D,CA31,M,2014,0,,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,,H2CA31125,reppeteaguilar,,reppeteaguilar,1979-06-19
N00006789,Grace Napolitano,NAPOLITANO,CA,D,CA32,F,1998,0,,202-225-5256,202-225-0027,http://napolitano.house.gov,https://napolitano.house.gov/contact-me/email-me,1610 Longworth House Office Building,N000179,8393,H8CA34068,GraceNapolitano,https://youtube.com/RepGraceNapolitano,RepGraceNapolitano,1936-12-04
N00035825,Ted Lieu,LIEU,CA,D,CA33,M,2014,0,,202-225-3976,202-225-4099,https://lieu.house.gov,,236 Cannon House Office Building,L000582,,H4CA33119,RepTedLieu,,RepTedLieu,1969-03-29
N00040597,Jimmy Gomez,Gomez,CA,D,CA34,M,2017,0,,202-225-6235,,https://gomez.house.gov,,1530 Longworth House Office Building,G000585,,,RepJimmyGomez,,RepJimmyGomez,1974-11-25
N00009774,Xavier Becerra,BECERRA,CA,D,CA34,M,1992,2,Resigned to become CA Attorney General,202-225-6235,202-225-2202,http://becerra.house.gov,http://becerraforms.house.gov/forms/writeyourrep/,1226 Longworth House Office Building,B000287,26754,H2CA30143,RepBecerra,https://youtube.com/XavierBecerra,XavierBecerra,1958-01-26
N00036107,Norma Torres,TORRES,CA,D,CA35,F,2014,0,,202-225-6161,202-225-8671,https://torres.house.gov,,1713 Longworth House Office Building,T000474,,H4CA35031,NormaJTorres,,RepNormaTorres,1965-04-04
N00033510,Raul Ruiz,RUIZ,CA,D,CA36,M,2012,0,,202-225-5330,202-225-1238,https://ruiz.house.gov,https://ruiz.house.gov/email-me,1319 Longworth House Office Building,R000599,136407,H2CA36439,CongressmanRuiz,https://youtube.com/repraulruiz,CongressmanRaulRuizMD,1972-08-25
N00031877,Karen Bass,BASS,CA,D,CA37,F,2010,0,,202-225-7084,202-225-2422,https://bass.house.gov,https://bass.house.gov/contact-me/email-me,2241 Rayburn House Office Building,B001270,28963,H0CA33117,RepKarenBass,https://youtube.com/RepKarenBass,RepKarenBass,1953-10-03
N00024870,Linda Sanchez,SANCHEZ,CA,D,CA38,F,2002,0,,202-225-6676,202-226-1012,https://lindasanchez.house.gov,https://forms.house.gov/lindasanchez/webforms/issue_subscribe.htm,2329 Rayburn House Office Building,S001156,29674,H2CA39078,RepLindaSanchez,https://youtube.com/LindaTSanchez,CongresswomanLindaSanchez,1969-01-28
N00008264,Ed Royce,ROYCE,CA,R,CA39,M,1992,4,Retiring at end of 115th,202-225-4111,202-226-0335,http://royce.house.gov,https://royce.house.gov/contact/contactform.htm,2310 Rayburn House Office Building,R000487,26772,H6CA39020,RepEdRoyce,https://youtube.com/RepEdRoyce,EdRoyce,1951-10-12
N00006671,Lucille Roybal-Allard,ROYBALALLARD,CA,D,CA40,F,1992,0,,202-225-1766,202-226-0350,http://roybal-allard.house.gov,http://roybal-allard.house.gov/contact/,2083 Rayburn House Office Building,R000486,26766,H2CA33048,RepRoybalAllard,https://youtube.com/RepRoybalAllard,RepRoybalAllard,1941-06-12
N00006701,Mark Takano,TAKANO,CA,D,CA41,M,2012,0,,202-225-2305,202-225-7018,https://takano.house.gov,https://takano.house.gov/contact/email-me,1507 Longworth House Office Building,T000472,22337,H2CA43245,RepMarkTakano,https://youtube.com/RepMarkTakano,RepMarkTakano,1960-12-10
N00007099,Ken Calvert,CALVERT,CA,R,CA42,M,1992,0,,202-225-1986,202-225-2004,http://calvert.house.gov,https://calvert.house.gov/contactform/,2205 Rayburn House Office Building,C000059,26777,H2CA37023,KenCalvert,https://youtube.com/RepKenCalvert,RepKenCalvert,1953-06-08
N00006690,Maxine Waters,WATERS,CA,D,CA43,F,1990,0,,202-225-2201,202-225-7854,https://waters.house.gov,https://waters.house.gov/contact/contactform.htm,2221 Rayburn House Office Building,W000187,26759,H4CA23011,MaxineWaters,https://youtube.com/MaxineWaters,MaxineWaters,1938-08-15
N00037019,Nanette Barragan,BARRAGAN,CA,D,CA44,F,2016,0,,202-225-8220,,https://barragan.house.gov,,1320 Longworth House Office Building,B001300,,,RepBarragan,,CongresswomanBarragan,1976-09-15
N00035391,Mimi Walters,WALTERS,CA,R,CA45,F,2014,21,Lost general election,202-225-5611,202-225-9177,https://walters.house.gov,,215 Cannon House Office Building,W000820,,H4CA45097,RepMimiWalters,,RepMimiWalters,1962-05-14
N00037260,Lou Correa,CORREA,CA,D,CA46,M,2016,0,,202-225-2965,,https://correa.house.gov,,1039 Longworth House Office Building,C001110,,,RepLouCorrea,,RepLouCorrea,1958-01-24
N00033274,Alan Lowenthal,LOWENTHAL,CA,D,CA47,M,2012,0,,202-225-7924,202-225-7926,http://lowenthal.house.gov,http://lowenthal.house.gov/contact/howtocontactme.htm,125 Cannon House Office Building,L000579,16469,H2CA00104,RepLowenthal,https://youtube.com/RepLowenthal,RepLowenthal,1941-03-08
N00007151,Dana Rohrabacher,ROHRABACHER,CA,R,CA48,M,1988,21,Lost general election,202-225-2415,202-225-0145,https://rohrabacher.house.gov,https://rohrabacher.house.gov/contact/email-me,2300 Rayburn House Office Building,R000409,26763,H8CA42061,danarohrabacher,https://youtube.com/RepDanaRohrabacher,danarohrabacher,1947-06-21
N00007017,Darrell Issa,ISSA,CA,R,CA49,M,2000,4,Retiring at end of 115th,202-225-3906,202-225-3303,https://issa.house.gov,http://issa.house.gov/contact/contact-me,2269 Rayburn House Office Building,I000056,16553,H0CA48024,DarrellIssa,https://youtube.com/repdarrellissa,darrellissa,1953-11-01
N00029258,Duncan D Hunter,Hunter,CA,R,CA50,M,2008,0,,202-225-5672,202-225-0235,https://hunter.house.gov,https://hunter.house.gov/contact-me/email-me,2429 Rayburn House Office Building,H001048,104308,H8CA52052,Rep_Hunter,https://youtube.com/CongressmanHunter,DuncanHunter,1976-12-07
N00007021,Juan Vargas,VARGAS,CA,D,CA51,M,2012,0,,202-225-8045,202-225-9073,http://vargas.house.gov,https://vargas.house.gov/contact,1605 Longworth House Office Building,V000130,29100,H2CA50026,RepJuanVargas,https://youtube.com/RepJuanVargas,RepJuanVargas,1961-03-07
N00033591,Scott Peters,PETERS,CA,D,CA52,M,2012,0,,202-225-0508,202-225-2558,http://scottpeters.house.gov,https://scottpeters.house.gov/contact/email-me,1122 Longworth House Office Building,P000608,70351,H2CA52089,RepScottPeters,,RepScottPeters,1958-06-17
N00009604,Susan Davis,DAVIS,CA,D,CA53,F,2000,0,,202-225-2040,202-225-2948,https://susandavis.house.gov,https://susandavisforms.house.gov/forms/writeyourrep/,1214 Longworth House Office Building,D000598,8168,H0CA49055,RepSusanDavis,,RepSusanDavis,1944-04-13
N00036915,Kamala Harris,HARRIS,CA,D,CAS1,F,2016,0,,202-224-3553,,https://www.harris.senate.gov,https://www.harris.senate.gov/content/contact-senator,112 Hart Senate Office Building,H001075,,,SenKamalaHarris,,SenatorKamalaHarris,1964-10-20
N00007364,Dianne Feinstein,FEINSTEIN,CA,D,CAS2,F,1992,0,,202-224-3841,202-228-3954,https://www.feinstein.senate.gov,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,331 Hart Senate Office Building,F000062,53273,S0CA00199,SenFeinstein,https://youtube.com/SenatorFeinstein,senatorfeinstein,1933-06-22
N00006134,Diana DeGette,DEGETTE,CO,D,CO01,F,1996,0,,202-225-4431,202-225-5657,http://degette.house.gov,https://degette.house.gov/contact/send-me-an-email/email-me,2111 Rayburn House Office Building,D000197,561,H6CO01141,RepDianaDeGette,https://youtube.com/RepDianaDeGette,DianaDeGette,1957-07-29
N00029127,Jared Polis,POLIS,CO,D,CO02,M,2008,16,Running for Governor in 2018,202-225-2161,202-226-7840,http://polis.house.gov,https://polis.house.gov/forms/writeyourrep/default.aspx,1727 Longworth House Office Building,P000598,106220,H8CO02137,JaredPolis,https://youtube.com/JaredPolis31275,jaredpolis,1975-05-12
N00027509,Scott Tipton,TIPTON,CO,R,CO03,M,2010,0,,202-225-4761,202-226-9669,http://tipton.house.gov,https://tipton.house.gov/contact-me/email-me,218 Cannon House Office Building,T000470,65403,H6CO03139,RepTipton,https://youtube.com/RepScottTipton,CongressmanScottTipton,1956-11-09
N00030829,Ken Buck,BUCK,CO,R,CO04,M,2014,0,,202-225-4676,202-225-5870,https://buck.house.gov,,1130 Longworth House Office Building,B001297,,S0CO00237,RepKenBuck,,repkenbuck,1959-02-16
N00028133,Douglas L Lamborn,LAMBORN,CO,R,CO05,M,2006,0,,202-225-4422,202-226-2638,http://lamborn.house.gov,https://lambornforms.house.gov/contact-form,2402 Rayburn House Office Building,L000564,2698,H6CO05159,RepDLamborn,https://youtube.com/CongressmanLamborn,CongressmanDougLamborn,1954-05-24
N00024753,Mike Coffman,COFFMAN,CO,R,CO06,M,2008,21,Lost general election,202-225-7882,202-226-4623,http://coffman.house.gov,https://coffman.house.gov/contact/email-me,2443 Rayburn House Office Building,C001077,1535,H8CO06138,RepMikeCoffman,https://youtube.com/CongressmanCoffman,repmikecoffman,1955-03-19
N00027510,Ed Perlmutter,PERLMUTTER,CO,D,CO07,M,2006,0,Running for re-election after all,202-225-2645,202-225-5278,https://perlmutter.house.gov,https://forms.house.gov/perlmutter/webforms/contact.shtml,1410 Longworth House Office Building,P000593,2653,H6CO07023,RepPerlmutter,https://youtube.com/RepPerlmutter,RepPerlmutter,1953-05-01
